coverage	zsize	displacement	seed	time_steps	stuck_percentage	entropy
16	0.750000	40	22646	600000	0.000000	0.002418
41	0.750000	132	22646	600000	0.000000	0.007847
30	0.750000	70	22646	600000	0.000000	0.004305
36	0.750000	73	22646	600000	0.000000	0.004568
59	0.750000	168	22646	600000	0.000000	0.010083
23	0.750000	46	22646	600000	0.000000	0.002874
33	0.750000	94	22646	600000	0.000000	0.005678
52	0.750000	108	22646	600000	0.000000	0.006710
29	0.750000	81	22646	600000	0.000000	0.004825
63	0.750000	228	22646	600000	0.000000	0.013298
